salinity_surface_psu,temperature_surface_°c,mean_wind_speed_prior_week_m_s⁻¹,precipitation_prior_wk_cm,irradiance_w_m⁻²,total_river_m_s⁻¹
29.4,18.6,3.933952,0.7366,203.5,14.587632
29.6,10.2,4.783328,0.0,70.1,22.081104
29.6,8.5,4.112768,1.0414,61.4,17.074128
30.2,5.6,5.588,2.5908,62.1,20.158176
30.2,4.3,5.096256,5.7404,57.8,17.0628
30.2,4.1,5.766816,2.413,46.2,27.920688
30.2,1.7,5.9009279999999995,1.5748,81.1,25.142495999999998
29.6,0.5,6.0350399999999995,1.3208,193.2,19.59744
30.2,-0.2,4.604512000000001,0.508,78.7,27.906528
29.9,-0.6,4.91744,0.3048,100.0,20.713248
29.6,-0.2,5.319776,1.397,74.3,17.858592
30.2,-1.0,7.018528,2.6924,114.7,21.786576
29.6,-0.5,4.336288,6.3754,86.4,20.00808
29.6,0.0,6.48208,1.0668,111.6,43.864848
24.4,1.6,4.649216,3.4798,66.5,50.052768
28.6,2.4,4.649216,5.5372,111.9,61.22784
28.0,1.5,6.7056,1.5748,156.8,82.785024
28.0,3.4,6.079744,0.8128,198.6,68.423952
27.5,5.6,5.2303679999999995,2.6162,148.8,52.726175999999995
28.0,7.5,6.0350399999999995,0.4318,193.3,41.556768000000005
30.2,6.7,5.722112,2.6416,167.6,33.171216
29.1,8.1,3.889248,3.4544,147.0,31.310592
28.0,9.5,5.275072000000001,3.7338,98.0,46.589231999999996
28.6,10.9,4.828032,0.254,195.5,53.799504
28.3,12.7,3.933952,1.4986,191.9,60.8172
29.1,14.8,4.336288,0.1524,247.3,27.674304
29.5,16.7,3.933952,3.9116,274.4,24.604415999999997
29.1,17.2,4.24688,0.0,281.7,21.514704000000002
30.2,17.3,4.24688,0.1016,266.8,12.562752
29.9,20.9,4.068064,1.0668,275.5,10.840896
30.2,21.7,4.336288,0.0,286.2,9.025584
30.6,20.5,3.79984,0.4064,275.5,7.612416
30.6,21.0,4.872736,6.2738,259.3,7.096991999999999
30.4,22.2,3.486912,1.0922,210.3,10.155552
30.4,23.2,4.068064,0.9652,200.3,9.212496
